datetime,datetime,random,year,month,day,sazonal,timeSeries
2022-01-01 00:00:00,2022-01-01 00:00:00,0.3925592872271705,2022,1,1,1.0,10.39255928722717
2022-01-01 01:00:00,2022-01-01 01:00:00,0.8028403937697849,2022,1,1,0.9999997588734665,10.80283798250445
2022-01-01 02:00:00,2022-01-01 02:00:00,0.736531811311195,2022,1,1,0.9999990354939822,10.736522166251017
2022-01-01 03:00:00,2022-01-01 03:00:00,0.5541475531514038,2022,1,1,0.999997829861896,10.554125851770364
2022-01-01 04:00:00,2022-01-01 04:00:00,0.6980670435046767,2022,1,1,0.9999961419777894,10.69802846328257
2022-01-01 05:00:00,2022-01-01 05:00:00,0.5207209068334194,2022,1,1,0.9999939718424762,10.520660625258182
2022-01-01 06:00:00,2022-01-01 06:00:00,0.4084900446761416,2022,1,1,0.9999913194570031,10.408403239246173
2022-01-01 07:00:00,2022-01-01 07:00:00,0.6444389693059956,2022,1,1,0.9999881848226492,10.644320817532488
2022-01-01 08:00:00,2022-01-01 08:00:00,0.7363350767034754,2022,1,1,0.9999845679409262,10.736180756112738
2022-01-01 09:00:00,2022-01-01 09:00:00,0.939488079944098,2022,1,1,0.9999804688135782,10.93929276807988
2022-01-01 10:00:00,2022-01-01 10:00:00,0.36764025849163195,2022,1,1,0.9999758874425823,10.367399132917454
2022-01-01 11:00:00,2022-01-01 11:00:00,0.2723268181978471,2022,1,1,0.9999708238301476,10.272035056499323
2022-01-01 12:00:00,2022-01-01 12:00:00,0.6667004762367468,2022,1,1,0.9999652779787161,10.666353256023909
2022-01-01 13:00:00,2022-01-01 13:00:00,0.6233712776919225,2022,1,1,0.9999592498909624,10.622963776601548
2022-01-01 14:00:00,2022-01-01 14:00:00,0.6333671104499488,2022,1,1,0.9999527395697936,10.632894506147885
2022-01-01 15:00:00,2022-01-01 15:00:00,0.3725228315495094,2022,1,1,0.9999457470183493,10.371980301733004
2022-01-01 16:00:00,2022-01-01 16:00:00,0.6090124417291073,2022,1,1,0.9999382722400014,10.60839516412912
2022-01-01 17:00:00,2022-01-01 17:00:00,0.1434029567576841,2022,1,1,0.9999303152383551,10.142706109141235
2022-01-01 18:00:00,2022-01-01 18:00:00,0.7257024135636502,2022,1,1,0.9999218760172474,10.724921173736124
2022-01-01 19:00:00,2022-01-01 19:00:00,0.8835376164496087,2022,1,1,0.999912954580748,10.88266716225709
2022-01-01 20:00:00,2022-01-01 20:00:00,0.5631788750810289,2022,1,1,0.9999035509331596,10.562214384412625
2022-01-01 21:00:00,2022-01-01 21:00:00,0.03471934456391701,2022,1,1,0.9998936650790171,10.033655995354088
2022-01-01 22:00:00,2022-01-01 22:00:00,0.0943807902153283,2022,1,1,0.9998832970230879,10.093213760446208
2022-01-01 23:00:00,2022-01-01 23:00:00,0.6191969495089603,2022,1,1,0.9998724467703719,10.61792141721268
2022-01-02 00:00:00,2022-01-02 00:00:00,0.896128393967099,2022,1,2,0.9998611143261019,10.89473953722812
2022-01-02 01:00:00,2022-01-02 01:00:00,0.6977105189314692,2022,1,2,0.9998492996957429,10.696203515888898
2022-01-02 02:00:00,2022-01-02 02:00:00,0.6728141451242443,2022,1,2,0.9998370028849926,10.67118417397417
2022-01-02 03:00:00,2022-01-02 03:00:00,0.4113849980063966,2022,1,2,0.999824223899781,10.409627237004205
2022-01-02 04:00:00,2022-01-02 04:00:00,0.5703785095686656,2022,1,2,0.9998109627462709,10.568488137031375
2022-01-02 05:00:00,2022-01-02 05:00:00,0.17639726001222245,2022,1,2,0.9997972194308576,10.1743694543208
2022-01-02 06:00:00,2022-01-02 06:00:00,0.33497416094976273,2022,1,2,0.9997829939601689,10.332804100551451
